"id","country_id:id","name","code","postal_code"
"state_co_610","base.co","CURUMANÍ / Cesar","20228","203067"
"state_co_611","base.co","EL COPEY / Cesar","20238","201010"
"state_co_612","base.co","EL PASO / Cesar","20250","201038"
"state_co_613","base.co","GAMARRA / Cesar","20295","205008"
"state_co_614","base.co","GONZÁLEZ / Cesar","20310","205037"
"state_co_615","base.co","LA GLORIA / Cesar","20383","204067"
"state_co_616","base.co","LA JAGUA DE IBIRICO / Cesar","20400","203020"
"state_co_617","base.co","MANAURE / Cesar","20443","202001"
"state_co_618","base.co","PAILITAS / Cesar","20517","204001"
"state_co_619","base.co","PELAYA / Cesar","20550","204047"
"state_co_620","base.co","PUEBLO BELLO / Cesar","20570","201001"
"state_co_621","base.co","RÍO DE ORO / Cesar","20614","205040"
"state_co_622","base.co","LA PAZ / Cesar","20621","202017"
"state_co_623","base.co","SAN ALBERTO / Cesar","20710","205078"
"state_co_624","base.co","SAN DIEGO / Cesar","20750","202037"
"state_co_625","base.co","SAN MARTÍN / Cesar","20770","205050"
"state_co_626","base.co","TAMALAMEQUE / Cesar","20787","204020"
"state_co_627","base.co","MONTERÍA / Córdoba","23001","230017"
"state_co_628","base.co","AYAPEL / Córdoba","23068","233538"
"state_co_629","base.co","BUENAVISTA / Córdoba","23079","233020"
